MAC,Hostname,IP
a4:1f:72:99:a4:01,s61-1,10.126.23.68
A4:1F:72:99:A4:0E,s61-2,10.126.23.69
A4:1F:72:99:A4:1B,s61-3,10.126.23.70
A4:1F:72:99:A4:28,s61-4,10.126.23.71
A4:1F:72:99:A4:35,s61-5,10.126.23.72
A4:1F:72:99:A4:42,s61-6,10.126.23.73
A4:1F:72:99:A4:4F,s61-7,10.126.23.74
A4:1F:72:99:A4:5C,s61-8,10.126.23.75
A4:1F:72:99:A4:69,s61-9,10.126.23.76
A4:1F:72:99:A4:76,s61-10,10.126.23.77
A4:1F:72:99:A4:83,s61-11,10.126.23.78
A4:1F:72:99:A4:90,s61-12,10.126.23.79
A4:1F:72:99:A4:9D,s61-13,10.126.23.80
A4:1F:72:99:A4:AA,s61-14,10.126.23.81
A4:1F:72:99:A4:B7,s61-15,10.126.23.82
A4:1F:72:99:A4:C4,s61-16,10.126.23.83
